Numero_de_Parte,Descripcion,Categoria,En_Stock,Comprometido,Pedido,Disponible,Precio
428H132L,CADENA MOTODRIVE 428H-132L,ACCES,777.0,0.0,0.0,777.0,381.0
428H132LD,CADENA MOTODRIVE 428H-132L DORADA,ACCES,340.0,0.0,0.0,340.0,410.0
520H132L,CADENA MOTODRIVE 520H-132L,ACCES,668.0,5.0,0.0,663.0,671.0
520H132LD,CADENA MOTODRIVE 520H-132L DORADA,ACCES,236.0,5.0,0.0,231.0,762.0
A1780061602P,CADENA 520H-116,ACCES,89.0,0.0,0.0,89.0,475.9
A178TY11406NB,CADENA R/DORADA 428*126 150S,ACCES,37.0,0.0,0.0,37.0,332.31
B2240830003P,CAMARA 300-17,ACCES,30.0,0.0,0.0,30.0,120.12
CABCGPCO,CABLE PASACORRIENTE,ACCES,43.0,0.0,0.0,43.0,137.89
CANCGUNV,CANDADO UNIVERSAL,ACCES,5.0,0.0,0.0,5.0,218.39
CAPCENTER,CENTRO DE TAPON DE RIN,ACCES,405.0,0.0,0.0,405.0,18.47
CHPICCEX,CHAMARRA DE PIEL CON CIERRES RESPIRADORES EXTRA GRANDE,ACCES,2.0,0.0,0.0,2.0,5590.48
CHPINNEX,CHAMARRA DE CORDURA PIEL NYLON EXTRA GRANDE,ACCES,15.0,0.0,0.0,15.0,2338.1
CHPINNGD,CHAMARRA DE CORDURA PIEL NYLON GRANDE,ACCES,16.0,0.0,0.0,16.0,2338.1
CJLTNGMD,JUEGO DE MALETAS DE NYLON LATERALES,ACCES,71.0,0.0,0.0,71.0,1392.86
CJTR40LT,BAUL 40 LITROS  CON RESPALDO,ACCES,1.0,0.0,0.0,1.0,1796.67
EMB1TFRD,EMBELLECEDOR TAPA DE LIQUIDO DE FRENOS DELANTERO N160,ACCES,68.0,0.0,0.0,68.0,340.0
EMB1TFRT,EMBELLECEDOR TAPA DE LIQUIDO DE FRENOS TRASERO N160,ACCES,48.0,0.0,0.0,48.0,378.0
EMB2TFRD,EMBELLECEDOR TAPA DE LIQUIDO DE FRENOS DELANTERO N250,ACCES,59.0,0.0,0.0,59.0,340.0
EMB2TFRT,EMBELLECEDOR TAPA DE LIQUIDO DE FRENOS TRASERO N250,ACCES,47.0,0.0,0.0,47.0,378.0
EMBDOTGR,EMBELLECEDOR DOMINAR TAPA GASOLINA ROJO,ACCES,58.0,0.0,0.0,58.0,378.0
EMBDTFRD,EMBELLECEDOR DOMINAR TAPA DEPOSITO LIQUIDO FRENO DELANTERO,ACCES,52.0,0.0,0.0,52.0,340.0
